title,url,description,price,original_price,discount_percentage,discount_value,cost_per_unit,country,lead_time,supplier,returned_products,high_confidence_terms,flags,promotions,price_range,original_price_range,inventory_quantity,availability,launch_datetime,exclude_from_apps,active,category_paths,color_group,color,size,brand,gender,large_image,swatch_image,thumb_image,sku,condition,variant_options,product_class,collection_member_ids,item_id,capacity,width,height,depth,store_latitude,store_longitude,gtin,keywords,reviews
Product evVma,https://example.com/mPyUVrEd,Description TycVXdIpTxollHkeHTmb,383.71,462.97999999999996,17.12,79.26999999999998,254.68,Canada,8 days,Supplier 8bdxQ,39,"['3cFHh', 'pJHW5', 'xcDCE']","['kMNWD', 'sVG2K', 'dBOwB']","['AtaJo', 'v5MqI', '6d8Sh']","[971.5, 708.6, 968.79]","[191.89, 782.39, 434.65]",970,in stock,2025-03-29T06:32:17.110942,"['TtYYz', 'BHwo0', 'kBGZe']",True,Home/Furniture,White,Red,XL,BrandD,Male,https://picsum.photos/seed/87ztF/600/600,https://picsum.photos/seed/utVG6/50/50,https://picsum.photos/seed/1rXkB/150/150,05e3512e-a282-47fa-937e-339eb4fe8698,used,"['Kdrjc', '3oLEr', 'uZvP5']",exclusive,"['U2w5v', 'B15pc', 'Kwljg']",c01a0cef-d550-4df5-9dfb-927c196a5648,126.83,27.16,88.83,59.89,-32.78785,70.66186,6619157484438,"['3NWPs', 'PTf3h', 'Qdwhs']",5.0
Product l8B7h,https://example.com/ENw18M10,Description q71cOnZUxTsWz6HpBJU0,15.02,58.3,74.24,43.28,8.48,Germany,2 days,Supplier 3x84e,32,"['LzkeN', 'wXT4b', 'teVkY']","['oNXNE', 'yu7Dk', 'jSOCv']","['yPjfZ', 'lxKBL', 'UfO1u']","[754.97, 676.65, 895.56]","[74.86, 605.51, 25.4]",520,out of stock,2025-09-05T06:32:17.111065,"['5R9Ti', '9Xsa5', 'ajC8k']",False,Sports/Outdoor,Green,White,S,BrandC,Male,https://picsum.photos/seed/nDhRd/600/600,https://picsum.photos/seed/lIl0T/50/50,https://picsum.photos/seed/eM5rP/150/150,f3db2b74-95d1-4fe5-9d96-010769dc6775,new,"['pOVue', 'Op4EV', 'kCmr6']",premium,"['HqEsX', 'Omg4s', 'QTNfR']",28e2a20c-0fe1-4acd-9d02-71b44d864bc0,331.27,22.13,156.74,181.36,-84.746547,127.093874,6473083081164,"['pjl8r', 'YTMaJ', '7Gj0i']",4.2
Product 3MCBI,https://example.com/htNB8CJh,Description FH9ff3q3ghAeSh1MKUQH,274.79,297.26,7.56,22.46999999999997,243.83,France,3 days,Supplier JIgGA,0,"['55GqN', 'OoxuU', 'oVpXa']","['04kRk', '9cr0z', 'gOERI']","['v9RHp', '13pZI', 'N7We2']","[747.66, 114.19, 333.63]","[269.76, 37.48, 566.2]",130,out of stock,2025-05-28T06:32:17.111177,"['O1S7I', 'ck7H0', 'uJdsM']",True,Clothing/Women,Blue,Green,M,BrandB,Unisex,https://picsum.photos/seed/v1fiX/600/600,https://picsum.photos/seed/U0ypq/50/50,https://picsum.photos/seed/7HdDD/150/150,9feb6c75-7f8d-4b23-b22a-1604f73bf700,new,"['GfEfa', '2fvVD', 'JxXCa']",exclusive,"['w1c9z', 'X0Sxk', 'bGiRB']",1f0e2e8d-5f24-4149-a117-e2633ee4b7c8,293.91,124.1,182.84,196.16,60.933675,-13.278976,2259993796693,"['gib19', '3TEUW', 'sINvN']",5.0
Product ck1lp,https://example.com/XvEwPomE,Description xWQNJccdxkUDePcLJqb1,145.4,169.94,14.44,24.539999999999992,81.11,France,9 days,Supplier e5mWI,31,"['Qf8Tg', 'sWUcY', 'GaxOS']","['yjMkK', 'l1jC7', 'oAH93']","['1NBJ0', 'CsNUh', 'OVs58']","[839.54, 120.41, 842.52]","[983.18, 171.79, 421.71]",340,preorder,2024-11-10T06:32:17.111287,"['vbWX6', 'BlkTo', 'DAs2o']",False,Home/Furniture,Green,Black,M,BrandA,Male,https://picsum.photos/seed/5j8k8/600/600,https://picsum.photos/seed/2uMw6/50/50,https://picsum.photos/seed/eqJUi/150/150,5b5d611f-d95c-4e65-a795-14871c075112,refurbished,"['qRjtt', 'X6Smi', 'MMlf8']",exclusive,"['2SeXp', 'vqfx7', 'wAWeM']",f5e7db2d-c331-4d4e-af65-9cbf4e5055f8,309.21,136.86,193.88,73.46,8.077517,-142.157259,7716897002889,"['492TJ', '03rSZ', 'k43e6']",4.5
Product Od2mc,https://example.com/oD9qhiKy,Description VKnpJLuzxWQp1XLaTJTe,215.23,221.25,2.72,6.02000000000001,67.3,Germany,10 days,Supplier ZtZE3,10,"['mUfdZ', 'fOtuc', '5CNxv']","['dvnsz', 'trjfs', 'HCV4v']","['XTFGo', 'GUifx', 'a2vx1']","[201.17, 238.8, 414.01]","[363.14, 986.34, 515.8]",735,in stock,2025-03-27T06:32:17.111406,"['Itrf4', '2h9fp', 'SMi9e']",True,Clothing/Women,Green,Green,S,BrandD,Female,https://picsum.photos/seed/xy5El/600/600,https://picsum.photos/seed/wsFvI/50/50,https://picsum.photos/seed/348cB/150/150,4cfaf5ae-dff0-42c8-b520-5128909a0197,refurbished,"['VYqWz', 'r5tjp', '3CF5o']",standard,"['U3AKs', 'k7oCM', '7jgkd']",80fef912-f3d0-43ef-8d06-fd2fa68f6b5a,55.51,23.92,189.13,56.7,-55.114629,121.456481,5106793953098,"['gtDHy', 'r8hMX', 'LN2YT']",2.1
Product I0vXc,https://example.com/irNIe9gf,Description GQxgMhJzPZ0RfCwXqYwD,232.48,309.21999999999997,24.82,76.73999999999998,122.01,France,3 days,Supplier Xexk2,20,"['dYcnM', 'Vij3B', 'MDMq9']","['egp38', 'fCgcX', 'AMkO2']","['FPnhX', 'yi4iU', 'miPL3']","[226.7, 64.69, 175.96]","[57.84, 962.9, 914.35]",569,in stock,2025-05-03T06:32:17.111536,"['A1L33', 'mNywc', 'ipm2N']",True,Sports/Outdoor,Red,Black,L,BrandA,Female,https://picsum.photos/seed/zXsEh/600/600,https://picsum.photos/seed/xsp7r/50/50,https://picsum.photos/seed/BfJvF/150/150,f1417fa8-a41b-46a1-8ab0-bcd51434eea7,refurbished,"['yS7iN', 'IxNhg', 'ZUacC']",premium,"['BzT74', '16nVn', 'T9qLX']",44091014-7845-4b04-97bc-437baf633a53,205.29,47.11,83.18,28.88,-86.858667,-99.059357,4484239615436,"['UqcHk', '9fUVJ', 'VEzuH']",3.1
Product 2HApg,https://example.com/RZhEx49R,Description qEVkn7Asal4V7dfHGqIr,416.71,481.64,13.48,64.93,115.34,Japan,3 days,Supplier rkhBM,0,"['9CgWQ', 'Ktj3L', 'JGugG']","['y9Wua', 'meS42', 'Ni4JQ']","['7BdyM', 'RsMSZ', 'QPVJP']","[337.89, 100.38, 4.57]","[239.14, 480.0, 917.41]",275,preorder,2025-01-24T06:32:17.111645,"['gE2xH', 'H7LJv', '7AnaM']",True,Electronics/Phones,Blue,Black,M,BrandC,Male,https://picsum.photos/seed/92CAB/600/600,https://picsum.photos/seed/Bdmh7/50/50,https://picsum.photos/seed/swPVf/150/150,006d421b-be64-49f6-923d-61edd4a959a6,refurbished,"['bhFUI', 'S2aVj', 'aG37i']",standard,"['TxuTV', 'McoSW', 'R08wK']",a8faf85c-4db7-43d5-8ea5-2ea4817cb3d4,227.44,73.04,155.3,151.19,11.301591,-158.382311,2823292937487,"['thGgW', 'MFM9d', 'oUYXW']",3.4
Product iClW5,https://example.com/xAcAVTcb,Description cI94KoEW9TgbGtxKkIv2,211.63,304.65,30.53,93.01999999999998,19.75,USA,14 days,Supplier psMqC,29,"['9MArb', '15hSR', 'pPoWn']","['H694F', 'FJb7N', '2kyFU']","['YfvLv', 'uHjCG', 'wWwBV']","[317.86, 142.91, 26.47]","[491.49, 624.08, 320.84]",196,out of stock,2025-02-21T06:32:17.111753,"['qdr7P', 'ny3p5', 'Pllkw']",False,Clothing/Men,Green,Green,S,BrandC,Male,https://picsum.photos/seed/IJhEc/600/600,https://picsum.photos/seed/KkiI5/50/50,https://picsum.photos/seed/ylHuh/150/150,ecb8d9cc-f6ec-4a94-b584-62155e4070b5,used,"['yzj5J', '73kUw', 'Hoabk']",premium,"['b7del', '3w1nj', 'Zt9cE']",28698618-1b54-476f-a448-eb9b146f5d93,347.97,176.86,52.23,52.34,-7.331328,122.366923,6267219503519,"['OTWD3', 'dASou', 'UVjeS']",2.0
Product 0mFTK,https://example.com/wo3VRTiW,Description 887iFWsyNwL6SssOHk4Q,59.81,122.39,51.13,62.58,48.75,France,10 days,Supplier fGGgR,15,"['lI3d9', 'jgspQ', 'pdw9o']","['kKzgw', 'mAQXJ', 'htGz8']","['EQHDG', 'FeWng', 'aF5qT']","[957.22, 598.78, 182.92]","[876.16, 203.55, 797.73]",25,out of stock,2025-02-08T06:32:17.111869,"['XvTGa', 'G6CI6', '3y4Hi']",False,Home/Furniture,Yellow,Yellow,XL,BrandB,Unisex,https://picsum.photos/seed/FiVDz/600/600,https://picsum.photos/seed/zBorM/50/50,https://picsum.photos/seed/KSKyh/150/150,18928d5d-2a88-4ebd-a318-beacee24829c,new,"['odTXL', 'XQuVA', 'VL4Ii']",standard,"['DQOVy', 'jpZIQ', 'TnNom']",4ddc8e48-6ec6-4735-bdd1-e93f49f91db3,285.52,26.32,10.6,69.44,-47.916524,-30.327563,4378179169466,"['REmzv', 'ALQLJ', 'aDECx']",3.7
Product JhdRC,https://example.com/BXArNJ4u,Description mi3Kc8MnKcgt18BtjRy7,461.69,536.53,13.95,74.83999999999997,163.11,USA,2 days,Supplier aGqg9,41,"['ifrhS', 'BqzFB', 'uWFo1']","['Yp5Je', 'w88tg', 'jImFo']","['eT1VF', 'qT2BZ', 'uX8dy']","[17.61, 441.71, 562.06]","[135.18, 134.27, 577.03]",74,in stock,2025-06-04T06:32:17.111967,"['ZeLcM', '0BWPW', 'r3yfr']",False,Home/Furniture,Blue,Red,L,BrandB,Male,https://picsum.photos/seed/KRvSW/600/600,https://picsum.photos/seed/CX5Vs/50/50,https://picsum.photos/seed/t41Ry/150/150,cf876895-c8f7-4fff-a676-45d5a8d010c5,used,"['RAaMK', 'MRiM0', 'H5KTO']",exclusive,"['inEeT', '4y54m', 'tzNUP']",d66627f2-eef3-4fc5-af39-470bb53f3a93,132.25,188.96,16.32,22.83,73.336913,-34.276829,8761435657754,"['3rVDo', 'iU3FT', 'CHCn3']",4.2
Product Obr9Q,https://example.com/0vPurH0L,Description 0ZnnjO0cYIn6yW37T2xm,181.49,277.9,34.69,96.40999999999997,45.98,USA,4 days,Supplier NAZBk,35,"['EdFQv', 'lA1EC', 'gk5ow']","['yv8bY', 'nWNAY', 'MZZRL']","['Boa4T', 'wnA9q', 'MNxWS']","[90.76, 71.28, 708.98]","[564.27, 999.78, 960.03]",770,in stock,2024-11-19T06:32:17.112064,"['VsuYp', 'nA1ME', '9whNN']",False,Clothing/Women,Red,Blue,XL,BrandD,Male,https://picsum.photos/seed/vOPRJ/600/600,https://picsum.photos/seed/LTZqn/50/50,https://picsum.photos/seed/K6zTT/150/150,91946f07-0d4d-450b-ab34-e8d556f766f1,refurbished,"['aRxl5', 'gpr1w', 'QCeGq']",exclusive,"['EDMLX', 'm3kch', 'Okuad']",ece48d01-ed76-4342-8ac8-6eed344ad63d,298.48,125.32,179.61,181.05,-43.854628,165.110664,1190497566401,"['SDewS', 'zSXgd', '7SY5o']",0.5
Product EhY7p,https://example.com/1xUbnkfX,Description 3mqHie3D9vvEZEY0aVUI,86.18,174.08,50.49,87.9,35.36,Canada,8 days,Supplier 3189i,16,"['SZvjt', 'M5O2Y', 'QvKVE']","['aC0Ru', 'yqzR3', 'VKbQx']","['VmgJF', 'lGCbL', 'WiLCI']","[762.9, 425.29, 240.48]","[728.77, 919.02, 748.88]",475,out of stock,2024-11-01T06:32:17.112174,"['82UmC', 'H1qP6', 'q8gbm']",False,Home/Furniture,Yellow,Red,L,BrandB,Male,https://picsum.photos/seed/VMTDf/600/600,https://picsum.photos/seed/nllgm/50/50,https://picsum.photos/seed/hovGr/150/150,c189bb02-0053-47cb-80a3-53e3953f2119,used,"['ddZ8q', 'QTdi3', 'YamqW']",standard,"['a3GRM', 'bIcdX', 'FGiXq']",d167c535-9036-4245-88ca-a4f4eefedba3,451.4,186.22,52.65,92.55,81.302695,27.907879,2177840087286,"['AcItV', 'DDzsK', 'GD53g']",3.2
Product LxF7K,https://example.com/Fyfuieri,Description FbH3rEPWWdeReerry8tu,197.81,227.5,13.05,29.689999999999998,9.08,Canada,7 days,Supplier pv3fe,16,"['ksAzE', 'S767E', 'FwRDe']","['duyiM', 'NogwQ', '5oAA1']","['VzZhm', 'Ctc5l', 'dhzqg']","[724.31, 302.86, 832.96]","[17.35, 401.84, 280.57]",729,out of stock,2024-09-23T06:32:17.112277,"['3sP4k', 'JW09N', 'S3vPD']",False,Sports/Outdoor,White,Black,XL,BrandB,Female,https://picsum.photos/seed/HR6zg/600/600,https://picsum.photos/seed/qIQ49/50/50,https://picsum.photos/seed/cgksS/150/150,12d45c23-783c-449b-9c2c-0a457a68cdef,new,"['7egSD', 'TJbuj', 'mOCMQ']",exclusive,"['fJAvf', 'bS7ET', 'PGumZ']",39994328-1e79-4a3f-937e-4721092b1e10,488.19,87.54,125.19,63.78,-71.862404,120.763664,7563287984385,"['eHcxS', 'iW5AB', 'Z6hbp']",0.1
Product xLCd6,https://example.com/IDdC6mMv,Description tuMpMQDLeFIbcFnvmYqy,164.4,222.51,26.12,58.109999999999985,48.28,USA,8 days,Supplier gxLSy,27,"['icgbP', 'MznPH', 'XZKLH']","['bWoPw', 'sGzKW', 'qfHYK']","['Sk5tO', 'PaMQJ', 'C5bmE']","[138.21, 575.99, 862.52]","[275.25, 121.71, 358.39]",719,preorder,2025-01-13T06:32:17.112404,"['mTj3J', 'BBWun', 'noC39']",True,Clothing/Women,Blue,White,M,BrandC,Unisex,https://picsum.photos/seed/EoYij/600/600,https://picsum.photos/seed/B8YOP/50/50,https://picsum.photos/seed/Z7tiQ/150/150,8b729b64-b402-4ca3-9730-8e4d68fa33eb,used,"['UUcaq', 'LZJJK', 'ovCPs']",exclusive,"['hIt6a', 'bCVVV', 'dthGv']",41cb9519-4f50-434d-aabe-e4fcb9213724,104.7,122.49,7.79,167.75,-11.455362,-25.065962,0744369300720,"['03Jam', 'Ldcu5', 'rmipr']",3.9
Product YLDlR,https://example.com/4suPNAoi,Description lghsjd0f3mQRjvmIAKlV,159.6,256.28999999999996,37.73,96.68999999999997,17.69,USA,9 days,Supplier 4kYgB,48,"['ClqBH', 'iVt3l', 'zj1Mp']","['9uzjc', '1fFgK', 'KZYWQ']","['cVEGm', '464p6', 'DgCE8']","[164.61, 130.66, 645.1]","[835.45, 149.61, 454.75]",167,preorder,2025-06-11T06:32:17.112508,"['1i6I0', '21QzW', 'NYIyq']",False,Home/Furniture,Green,Red,L,BrandC,Male,https://picsum.photos/seed/Sz45i/600/600,https://picsum.photos/seed/OzNzG/50/50,https://picsum.photos/seed/ymROC/150/150,b87e58f2-f709-4740-b738-761fbb7dca03,refurbished,"['6IxVp', 'vlXmP', 'kDDbI']",premium,"['eJSGq', 'NeX2P', 'UhgAZ']",c6e9b7a4-7da6-4cc0-a26e-7846e7d2c87a,222.12,73.58,198.53,17.46,-59.931683,-99.102473,3949749111720,"['2h3ak', 'nYiEM', 'ZPbGD']",1.1
Product 0QlTX,https://example.com/MZrHDqUM,Description TEax28eQnxcQj9ME8FOC,338.4,427.32,20.81,88.92000000000002,80.9,Japan,14 days,Supplier 6T2A5,13,"['ytIGH', 'QIIHo', 'p6aKz']","['TIAdp', 'XSDKK', 'fOlUN']","['C0lSi', 'ngYQP', 'O60UA']","[111.62, 908.13, 237.19]","[10.25, 620.45, 889.88]",295,out of stock,2025-06-14T06:32:17.112728,"['fNTj1', 'VpxHL', 'DIRuj']",True,Clothing/Men,White,Green,S,BrandD,Male,https://picsum.photos/seed/xDmHW/600/600,https://picsum.photos/seed/ng5GS/50/50,https://picsum.photos/seed/emlwz/150/150,5a1812f7-d2d4-45f1-8a8e-bd17a643475b,refurbished,"['bCAs6', 'yc1Yh', 'vZYU8']",exclusive,"['PDcUA', 'k12QY', 'b6R2H']",bdd84bfa-99be-493c-89d3-a7b6043c79c0,169.2,92.47,23.78,93.37,-39.007015,-72.702327,7151092598208,"['Fz5aR', 'J5YDx', 'kgTgb']",2.7
Product cfo0z,https://example.com/ah3rJxtd,Description SmntFsQ360CeES0i4uFs,162.04,214.68,24.52,52.640000000000015,133.45,Japan,3 days,Supplier kXcmx,6,"['pGwHR', 'n9ZVy', 'eX9CV']","['76M6Q', 'q7Adp', 'fkndk']","['D9diN', 'jK6du', 'OMnCH']","[912.27, 501.08, 896.48]","[454.43, 489.26, 595.93]",425,preorder,2025-04-07T06:32:17.112856,"['9SRjA', '0ldK7', 'jndCx']",False,Sports/Outdoor,Blue,White,S,BrandB,Female,https://picsum.photos/seed/iQliq/600/600,https://picsum.photos/seed/rtJlZ/50/50,https://picsum.photos/seed/sd0US/150/150,40f86447-ad90-4f10-b5f8-7427fb258a72,used,"['X9V0m', 'OgurI', 'uwQyf']",exclusive,"['5ekMo', 't1JKY', '4DqWE']",5213c989-17aa-4e2d-8f63-93fd9237455b,112.11,111.44,81.53,109.57,-13.074852,-10.291695,1919911215225,"['JlnCZ', 'vTfq3', 'k3YwU']",1.0
